,MatrixID,Lat,Lon,StudyStart,StudyEnd,GenTime,db,Download,air_temperature,air_temperature_SD,total_precipitation,total_precipitation_SD,volumetric_soil_water_layer_1,volumetric_soil_water_layer_1_SD,volumetric_soil_water_layer_2,volumetric_soil_water_layer_2_SD,snowfall,snowfall_SD,volumetric_soil_water_layer_3,volumetric_soil_water_layer_3_SD,volumetric_soil_water_layer_4,volumetric_soil_water_layer_4_SD,runoff,runoff_SD,total_evaporation,total_evaporation_SD
1664,249606,32.845833,-116.181667,1993,1998,11.32364575,comadre,1,293.1964234,7.021202643,0.016510201,0.027766506,0.06245121,0.071242883,0.172471314,0.046751357,0.000130111,0.000450143,0.201255996,0.029176984,0.161250816,0.003231245,0.000512078,0.001740991,-0.016083255,0.013855475
1665,249607,33.043889,-116.164444,1993,1998,11.00779495,comadre,1,294.5260108,7.273508792,0.013817714,0.025153318,0.052927827,0.067689664,0.153130465,0.046010618,8.56E-05,0.000315102,0.180804827,0.026513722,0.145645224,0.002593555,0.000473703,0.001683145,-0.013482961,0.012585298
1666,249608,32.6,-116.816667,1993,1998,12.95668755,comadre,1,289.4445917,4.603998052,0.042934618,0.065058486,0.155329195,0.100013126,0.214755611,0.074658927,4.70E-05,0.000163329,0.231666006,0.060825618,0.251544049,0.029195951,0.004543623,0.010951534,-0.038754379,0.022485254
1667,249609,32.6,-116.816667,1993,1998,12.73078664,comadre,1,289.4445917,4.603998052,0.042934618,0.065058486,0.155329195,0.100013126,0.214755611,0.074658927,4.70E-05,0.000163329,0.231666006,0.060825618,0.251544049,0.029195951,0.004543623,0.010951534,-0.038754379,0.022485254
1668,249610,33.45,-116.516667,1993,1998,7.928422464,comadre,1,289.6524457,6.78749913,0.029033224,0.046009349,0.137438678,0.078537586,0.189909514,0.060347144,0.000728783,0.002517157,0.205243588,0.047352074,0.214451761,0.01649277,0.001886366,0.006457206,-0.02723875,0.017328486
1669,249611,33.533333,-116.466667,1993,1998,8.8121813,comadre,1,289.8580672,6.830281865,0.02686546,0.043283392,0.117591925,0.077749222,0.183140184,0.057312819,0.000586831,0.002168955,0.203212445,0.044333601,0.208232241,0.013779732,0.00180422,0.006078734,-0.025173518,0.017005645
1670,249612,33.533333,-116.466667,1993,1998,10.95754647,comadre,1,289.8580672,6.830281865,0.02686546,0.043283392,0.117591925,0.077749222,0.183140184,0.057312819,0.000586831,0.002168955,0.203212445,0.044333601,0.208232241,0.013779732,0.00180422,0.006078734,-0.025173518,0.017005645
1671,249613,33.814444,-116.679167,1993,1998,9.339399387,comadre,1,288.6257428,6.705520324,0.03310634,0.052247086,0.160498615,0.089334439,0.206427524,0.068108608,0.00157552,0.003760883,0.228201083,0.050074125,0.244672796,0.017718014,0.003327062,0.009592063,-0.029768884,0.016796937
1672,249614,52,-115,1975,1994,NA,comadre,1,275.7728914,9.115790615,0.056152889,0.044683439,0.347666507,0.02819194,0.344461567,0.027499773,0.014917295,0.014455447,0.339736873,0.026520117,0.351335386,0.013822344,0.011293534,0.006632567,-0.045538194,0.037506498
1673,249615,52,-115,1975,1994,NA,comadre,1,275.7728914,9.115790615,0.056152889,0.044683439,0.347666507,0.02819194,0.344461567,0.027499773,0.014917295,0.014455447,0.339736873,0.026520117,0.351335386,0.013822344,0.011293534,0.006632567,-0.045538194,0.037506498
1674,249618,NA,NA,1986,2007,10.46061307,comadre,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1675,249619,37.433333,-118.733333,1986,2007,10.2565176,comadre,1,276.4489015,7.947091881,0.050747526,0.053868757,0.265937335,0.100479313,0.322736069,0.058281857,0.038202347,0.056415163,0.361021283,0.039029057,0.419995997,0.022323764,0.023517996,0.05313413,-0.028773112,0.027331604
1676,249620,36.5,-118.35,1986,2007,14.35439016,comadre,1,276.2060473,7.532577605,0.058506998,0.057293514,0.283551558,0.105233172,0.343859567,0.058633198,0.039608029,0.058604145,0.375009087,0.041452484,0.437746304,0.021115169,0.026617999,0.059871873,-0.032841842,0.031163977
1677,249621,37.9,-119.25,1986,2007,9.252221911,comadre,1,275.2987069,7.615750293,0.067419734,0.074902027,0.310288337,0.078211236,0.332227052,0.057411982,0.055539312,0.077106055,0.352317418,0.040845247,0.422622758,0.021715741,0.040586577,0.089451614,-0.030609019,0.027266028
1678,249622,37.9,-119.25,1986,2007,10.28301072,comadre,1,275.2987069,7.615750293,0.067419734,0.074902027,0.310288337,0.078211236,0.332227052,0.057411982,0.055539312,0.077106055,0.352317418,0.040845247,0.422622758,0.021715741,0.040586577,0.089451614,-0.030609019,0.027266028
1679,249623,37.9,-119.25,1986,2007,8.970172152,comadre,1,275.2987069,7.615750293,0.067419734,0.074902027,0.310288337,0.078211236,0.332227052,0.057411982,0.055539312,0.077106055,0.352317418,0.040845247,0.422622758,0.021715741,0.040586577,0.089451614,-0.030609019,0.027266028
1680,249624,37.9,-119.25,1986,2007,8.875152189,comadre,1,275.2987069,7.615750293,0.067419734,0.074902027,0.310288337,0.078211236,0.332227052,0.057411982,0.055539312,0.077106055,0.352317418,0.040845247,0.422622758,0.021715741,0.040586577,0.089451614,-0.030609019,0.027266028
1681,249625,-4.685,29.631944,1983,2007,37.6518081,comadre,1,296.4332878,0.69166756,0.21771815,0.176260072,0.255074628,0.048546909,0.26466981,0.041008301,0,0,0.270553996,0.032664471,0.299300076,0.013998557,0.076865035,0.069610508,-0.112533783,0.015999609
1682,249626,-4.685,29.631944,1983,2007,48.24385941,comadre,1,296.4332878,0.69166756,0.21771815,0.176260072,0.255074628,0.048546909,0.26466981,0.041008301,0,0,0.270553996,0.032664471,0.299300076,0.013998557,0.076865035,0.069610508,-0.112533783,0.015999609
